atom,category,obs_rank1_ratio_mean,obs_rank1_ratio_std,uni_baseline_rank1_ratio_mean,uni_baseline_rank1_ratio_std,delta_ratio,z_score_uniform,n_seeds_obs_appeared,n_seeds_baseline_appeared,static_z_uniform
PER.fragrance,PER,0.00015676259146062168,0.00013445783285405118,0.0,0.0,0.00015676259146062168,inf,21,0,1.4455426701495393
PER.hear,PER,0.006068958525137193,0.004456127315531245,0.0,0.0,0.006068958525137193,inf,24,0,5.192130779567573
PER.sound,PER,0.2828429288687769,0.05540233046027812,1.760143677303598e-05,1.947680869842719e-05,0.28282532743200384,14521.132892517591,24,16,0.5674110874123565
FND.timeless,FND,0.06491878316681635,0.019026973958707536,3.913938119022796e-06,8.460105704026599e-06,0.06491486922869733,7673.056519589466,24,5,-1.5637987718330977
SOC.city,SOC,0.01868510214694015,0.007125458017037047,1.8494628012847705e-06,4.902877508110403e-06,0.018683252684138865,3810.6709076930406,24,3,1.1986602820684906
WLD.artless,WLD,0.24528223761072834,0.04843845035166761,0.018464436740030694,0.0004421631833944964,0.22681780087069764,512.9730592434504,24,24,-1.082745481495189
EMO.manifest,EMO,0.0016253201954830288,0.0015212981412372777,4.352852977468015e-06,6.17452932002685e-06,0.0016209673425055609,262.52484335089565,23,8,-0.5588331507647272
WLD.culture,WLD,0.07774702536958773,0.03775432253058263,0.00626738331988929,0.0003125355176130328,0.07147964204969845,228.70886034207888,24,24,-2.0456488574248
PRP.shallow,PRP,0.0025543528337124786,0.002204107370994997,3.8402470361689474e-05,2.1490992766234074e-05,0.002515950363350789,117.0699925646881,24,23,0.0519762766355173
COG.learn,COG,0.01560828764558756,0.008743872349777628,0.0015655550658977896,0.00014145308972932625,0.01404273257968977,99.27483808632857,24,24,-1.4953259728824833
FND.temporality,FND,0.001249091575295015,0.0007310494553485595,4.609459827109255e-05,1.89884464143514e-05,0.0012029969770239225,63.35415498314289,24,22,-10.597000908571356
PRP.deep,PRP,0.017227416342659885,0.01127032352826618,0.003443728007296033,0.000240913723771303,0.013783688335363852,57.21420979922493,24,24,-6.643512173245903
CHG.begin,CHG,0.0005109349917598938,0.00026076223742194023,1.3673227181622938e-05,1.1893581756545128e-05,0.0004972617645782708,41.80925265045779,24,18,6.121678404187499
PRP.clear,PRP,0.0034290494926024206,0.004899092240479575,0.0008307429483847,8.187663491994836e-05,0.0025983065442177207,31.734408073293583,15,24,-4.358327690727349
EXS.being,EXS,0.07847814687737949,0.03129683403541675,0.05746795009312872,0.0008131569991420317,0.02101019678425077,25.837810910339325,24,24,-9.01377184026186
ACT.build,ACT,0.0008707411988979932,0.0003242281650102091,0.0002119572732314101,6.089523382864393e-05,0.0006587839256665831,10.81831670965198,24,24,-2.1797715106564417
EXS.death,EXS,0.00033843731538976777,0.00031797095739780637,4.523097815689925e-05,2.7343089623555304e-05,0.00029320633723286854,10.72323359465126,16,23,-10.353510762833974
VAL.ugliness,VAL,9.59794918431567e-05,6.258014495174165e-05,6.111049487501655e-06,1.1166250964066787e-05,8.986844235565504e-05,8.04821982282625,23,7,-3.447083828625367
COM.teach,COM,0.001210840758186776,0.001700600379483569,0.000520523836736015,8.774956257360676e-05,0.0006903169214507611,7.866898719542951,23,24,-4.501656214807212
FND.numberless,FND,6.655283836380994e-05,0.00031917620019109586,1.2848049508658422e-05,1.0406195231895375e-05,5.370478885515152e-05,5.160847712192094,1,17,-9.00371484374611
ACT.agitate,ACT,5.983845476186493e-05,8.017905570768753e-05,1.7187313747681674e-05,1.370639062460296e-05,4.2651141014183256e-05,3.111770427556945,12,18,-6.004912459470181
PRP.multiple,PRP,0.01076280090334356,0.004566418013651018,0.009966269684843312,0.00030003693898869246,0.0007965312185002488,2.6547771790535024,24,24,-8.154913272265567
FND.time,FND,0.00027628101542135,0.00038283289803505463,0.00021897999068925893,6.300447658538358e-05,5.730102473209105e-05,0.9094754505965426,17,24,-9.20947747503603
FND.mind,FND,5.309471565606534e-06,1.7705579330323718e-05,2.780391823668933e-06,5.478437745739774e-06,2.529079741937601e-06,0.46164250819575386,2,5,-2.8899071382196717
BOD.hip,BOD,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4.283756871688484
BOD.hand,BOD,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.6073253108395862
BOD.foot,BOD,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.2523561825949707
BOD.face,BOD,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.815130898049192
BOD.head,BOD,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.7699362980743474
BOD.mouth,BOD,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.111127994237391
BEI.beast,BEI,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.910495707801297
ECO.sell,ECO,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.8644782600453524
ECO.waste,ECO,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-4.177129084745402
ECO.withdraw,ECO,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.4022420211488886
ELM.darkness,ELM,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-5.30852600720193
BEI.male,BEI,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.9291588313982044
BEI.plant,BEI,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-3.3516705860052207
BEI.child,BEI,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.479922968360745
BEI.female,BEI,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.4091432361762046
ECO.buy,ECO,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.9081737921120006
ELM.light,ELM,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.19697429601303
ECO.currency,ECO,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.7683624126978112
ECO.earn,ECO,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0323649246907803
ECO.pay,ECO,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-2.902078670889818
ECO.income,ECO,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.7108163133247044
COM.muteness,COM,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.1383219576835462
COM.speak,COM,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.3624599968487336
COG.remember,COG,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.2279845056405219
COG.unlearned,COG,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.2932631457846508
PRP.young,PRP,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3.5625179456217118
REL.alone,REL,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.8479436355734813
ELM.earth,ELM,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-2.2532148256799296
ELM.fire,ELM,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-3.2664885107700563
BEI.root,BEI,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-2.3769192621868145
ECO.save,ECO,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.4905474259121762
PRP.small,PRP,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3.3829073389629563
SOC.awake,SOC,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.0771884064530157
REL.together,REL,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-5.518941325672655
REL.different,REL,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-4.827192043323238
PRP.wet,PRP,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.7081675872269075
BOD.eye,BOD,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4.066312550569352
STA.healing,STA,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.6497787004828317
STA.comfort,STA,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.1696301821526267
SOC.refuse,SOC,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-3.782501721882908
SOC.praise,SOC,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-7.325592455407734
ABS.foolish,ABS,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-2.9915797684618477
ABS.exempt,ABS,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.7431985787472591
WLD.uncultured,WLD,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-7.286431666150666
WLD.unskilled,WLD,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.5219831677349025
SOC.stateless,SOC,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.5097989416692842
STA.health,STA,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.9967605111087148
COG.forget,COG,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.875564249886963
SOC.obstruct,SOC,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-4.672890371389067
SOC.individual,SOC,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.420560640476247
COG.instinct,COG,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.1941711347420991
COG.intention,COG,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-3.5752534596352405
COG.mindless,COG,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.4413472226911126
CHG.decay,CHG,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-6.48344559473064
COG.ignorance,COG,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.357393030379419
CHG.stay,CHG,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-3.7623980022193337
COG.confusion,COG,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.6883526154136576
SOC.sleep,SOC,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.2166274537826505
SOC.rest,SOC,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.3733959724800044
SOC.defend,SOC,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-3.051680817192764
SOC.official,SOC,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.5610513186843201
STA.pain,STA,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.3119454239626296
STA.illness,STA,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.3673415130953257
EMO.happiness,EMO,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.5328897934669663
EMO.fear,EMO,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.8640839309940755
EMO.doubt,EMO,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.6090523762195633
EMO.dislike,EMO,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.5158044350301412
EMO.satisfaction,EMO,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.6667766337312677
EMO.respect,EMO,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-7.429267248651873
EMO.pride,EMO,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.2368089334199851
EMO.pleasure,EMO,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.0539276204332642
EMO.patience,EMO,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.671494956768814
EMO.love,EMO,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-9.02031839055709
EMO.like,EMO,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.2407024062282101
PRP.old,PRP,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-4.4296745866068585
PRP.narrow,PRP,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.7756623476642606
PRP.near,PRP,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-2.8804753063002284
PRP.murky,PRP,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-4.5585472226918
PRP.low,PRP,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.6320093744476977
PRP.weak,PRP,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.620092931312992
PRP.long,PRP,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-8.479429123501292
PRP.single,PRP,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.386198766947029
PRP.short,PRP,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.0230663263708597
PRP.rough,PRP,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0920209362696523
PRP.wide,PRP,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.2994498763088045
PRP.part,PRP,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-2.3147188969874204
PRP.possible,PRP,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-2.695382333210722
PRP.smooth,PRP,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.1242803057525301
PRP.strong,PRP,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.5054660885725267
PRP.soft,PRP,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.8918414895179168
FND.memory,FND,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.1979554133183456
EMO.courage,EMO,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-2.925926987861292
EMO.anxiety,EMO,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.2118369253725087
EMO.hate,EMO,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-8.34822486214774
EMO.hope,EMO,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.036708936111495
EXS.absence,EXS,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.0226771733230615
EMO.worry,EMO,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.0751860425191553
EMO.wish,EMO,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0463923217317739
EMO.unhappiness,EMO,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-2.0702813557970825
EMO.sorrow,EMO,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-2.560066792257897
EMO.trust,EMO,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-6.987066334049948
EMO.shame,EMO,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-5.273732705634482
PER.blind,PER,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3.52772634701724
MAT.food,MAT,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.064441631688292
MAT.naked,MAT,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.8261468265583464
MAT.tool,MAT,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.9801405588462556
NAT.flower,NAT,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.7773976419673424
PER.delicious,PER,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.401731983274173
PER.deaf,PER,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.453918923497373
PER.numb,PER,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.045186312731283
PER.odorless,PER,0.0,0.0,0.0,0.0,0.0,0.0,0,0,5.412501402154172
PER.bitter,PER,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0068663979288532
FND.memoryless,FND,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.1142393113117529
ELM.water,ELM,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-2.25584512448935
FND.body,FND,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-2.0309260318135065
FND.intuition,FND,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.8502118449341403
FND.information,FND,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-5.028844210753244
EXS.matter,EXS,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-2.110918700707613
FND.consciousness,FND,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.9824693236483488
EXS.physical_body,EXS,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.6751425078421368
EMO.contempt,EMO,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-3.3318720079555635
EMO.desire,EMO,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.4156169532597331
EMO.despair,EMO,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-6.523547799616164
ELM.wind,ELM,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.7988904949312672
EMO.apology,EMO,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-3.439525977865228
EMO.joy,EMO,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.091995489833181
EMO.anger,EMO,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-4.570813333204343
PRP.high,PRP,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.2959133471284162
PRP.heavy,PRP,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-3.870654165184259
PRP.hard,PRP,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-3.2113122349337013
PRP.fast,PRP,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.5086184728986791
FND.unconscious,FND,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.035812744595063
FND.unchanging,FND,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.9305298632144876
FND.spatiality,FND,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-4.078899369312086
MAT.drink,MAT,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-2.0526439110990298
LOG.unreason,LOG,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-11.346879893063104
FND.uninformed,FND,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-2.576352365533457
MAT.bare_hand,MAT,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.2138416533740577
MAT.clothing,MAT,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.161255076915454
NAT.river,NAT,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-3.389172650281204
NAT.sea,NAT,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-5.060750196722241
NAT.tree,NAT,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.8514958115054821
PRP.cold,PRP,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.7230839413094368
PRP.clean,PRP,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-2.239920901628901
PRP.blunt,PRP,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0999656550372429
PRP.aged,PRP,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0603591128698379
PER.untouched,PER,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.8395675441474968
PER.tasteless,PER,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.355126735154637
PER.touch,PER,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.367645902492244
PRP.far,PRP,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-7.703864488948428
PRP.dry,PRP,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-2.2441834370531666
PRP.large,PRP,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.4922879262907809
PRP.dirty,PRP,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.5090651896897913
PER.salty,PER,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0344753588673878
PER.stench,PER,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0248847613713959
PER.sweet,PER,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.930202387321759
PRP.dark,PRP,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-3.513210448149509
PRP.light,PRP,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.0441217169854826
PRP.hot,PRP,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.3506128297521678
VAL.sacred,VAL,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-6.136687444081089
VAL.incorrect,VAL,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-15.819876023202609
WLD.secular,WLD,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-2.611697182593958
VAL.good,VAL,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-8.002000318340311
STA.wound,STA,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.5146804883833086
TIM.come,TIM,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-2.579820532679785
STA.wealth,STA,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.2399223879167573
STA.poverty,STA,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-3.864214273032743
ACT.sink,ACT,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.3977766050786059
ACT.sit,ACT,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.8569032016595088
ACT.stand,ACT,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3.059942123440462
ACT.take,ACT,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.0035099629228112
ACT.fall,ACT,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.9116331994904168
ACT.give,ACT,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-4.002691105056644
ACT.obtain,ACT,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.361461706886516
ACT.rise,ACT,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.114457005270877
ACT.leave,ACT,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3.30419862514955
ACT.go,ACT,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.8548821244791721
ACT.lose,ACT,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-2.1519201686138576
ACT.lie_down,ACT,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.614006697875082
ACT.calm,ACT,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0477885043166087
ACT.descend,ACT,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.338248536291036
ACT.destroy,ACT,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-10.081015905277582
ACT.move,ACT,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.2500372556193578
ACT.dissolve,ACT,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-4.494107731721416
ACT.emit,ACT,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.859744526852504
ABS.self,ABS,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.387334192283939
ACT.exit,ACT,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.9739006945554527
ABS.wise,ABS,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.7247658100850125
ACT.abandon,ACT,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-5.654669249381121
ACT.arrive,ACT,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.5274973991469413
ACT.ascend,ACT,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.3982421906878888
SPC.outside,SPC,0.0,0.0,5.223350465922861e-07,2.5050308821783044e-06,-5.223350465922861e-07,-0.20851441405707472,0,1,-6.425440932265044
EXS.spirit,EXS,0.0,0.0,6.119711345455258e-07,2.9349104584108822e-06,-6.119711345455258e-07,-0.20851441405707474,0,1,-5.057096572728733
SOC.pass,SOC,0.0,0.0,1.2217709814730647e-06,5.859407787217245e-06,-1.2217709814730647e-06,-0.20851441405707474,0,1,-0.5703572168139841
COG.think,COG,0.0,0.0,6.183007117877794e-07,2.9652660444785248e-06,-6.183007117877794e-07,-0.20851441405707477,0,1,-2.0337225857405765
VAL.evil,VAL,0.0,0.0,5.194243946628104e-07,2.4910718859015333e-06,-5.194243946628104e-07,-0.20851441405707477,0,1,-9.43941973506297
SOC.request,SOC,0.0,0.0,5.194243946628104e-07,2.4910718859015333e-06,-5.194243946628104e-07,-0.20851441405707477,0,1,-3.581394602169695
SOC.village,SOC,0.0,0.0,5.841148790414909e-07,2.801316550143178e-06,-5.841148790414909e-07,-0.20851441405707477,0,1,1.6373384634491543
ABS.bound,ABS,0.0,0.0,5.541295953967347e-07,2.657512181604183e-06,-5.541295953967347e-07,-0.20851441405707477,0,1,-6.486679153316274
SPC.reverse,SPC,0.0,0.0,5.541295953967347e-07,2.657512181604183e-06,-5.541295953967347e-07,-0.20851441405707477,0,1,-8.301336929351256
ELM.star,ELM,0.0,0.0,5.141938058157377e-07,2.4659868630232537e-06,-5.141938058157377e-07,-0.2085144140570748,0,1,-5.717533736354102
COG.separate,COG,0.0,0.0,1.0911469197147493e-06,3.649277605379865e-06,-1.0911469197147493e-06,-0.299003539250111,0,2,-3.2258950584677994
FND.labor,FND,0.0,0.0,2.5396924668696627e-06,8.464543173210226e-06,-2.5396924668696627e-06,-0.30003892884705674,0,2,-1.4237335002807072
ECO.money,ECO,0.0,0.0,1.0946419471866438e-06,3.639455029107575e-06,-1.0946419471866438e-06,-0.30077084025820733,0,2,-3.5866109352646998
CHG.end,CHG,0.001673064705119648,0.002215953999120809,0.0017201298815590661,0.000137186128528308,-4.7065176439418195e-05,-0.34307533089766007,19,24,-5.502189328982431
ECO.price,ECO,0.0,0.0,1.7222135939897483e-06,4.589209158963437e-06,-1.7222135939897483e-06,-0.37527459183811623,0,3,-5.018685428046055
ECO.loss,ECO,0.0,0.0,1.645402721267612e-06,4.380460235745714e-06,-1.645402721267612e-06,-0.37562325251595496,0,3,-11.172984624373724
SOC.citizen,SOC,0.0,0.0,1.7211613380737872e-06,4.572833666298602e-06,-1.7211613380737872e-06,-0.3763883542842595,0,3,-2.450459976469005
VAL.beauty,VAL,0.0,0.0,1.5951144673963496e-06,4.2322160597844785e-06,-1.5951144673963496e-06,-0.3768981651370557,0,3,-0.075218925380223
SOC.work,SOC,0.0,0.0,1.515452526976298e-06,4.019447977017223e-06,-1.515452526976298e-06,-0.3770300139823914,0,3,-1.2630278831751478
SPC.place,SPC,0.0,0.0,1.5185882062962186e-06,4.021130889670461e-06,-1.5185882062962186e-06,-0.37765202077783383,0,3,-5.32352214781461
SOC.attack,SOC,0.0,0.0,2.254426653369162e-06,5.083676965101976e-06,-2.254426653369162e-06,-0.44346378986020785,0,4,-8.762602879238933
