seed,global_k,global_sw,global_none,global_n_C,r0_k,r0_agree,r0_sw,r0_max_streak,r0_transitions,r0_mismatch,r0_flip_rate,r1_k,r1_agree,r1_sw,r1_max_streak,r1_transitions,r1_mismatch,r1_flip_rate,r2_k,r2_agree,r2_sw,r2_max_streak,r2_transitions,r2_mismatch,r2_flip_rate,r3_k,r3_agree,r3_sw,r3_max_streak,r3_transitions,r3_mismatch,r3_flip_rate,divergence_ratio,div_episode_count,div_mean_duration,div_max_duration,short_div,long_div,top_mm_1_state,top_mm_1_count,top_mm_2_state,top_mm_2_count,top_mm_3_state,top_mm_3_count,regime,most_unstable,least_unstable,mm_concentration,e_0_1_count,e_0_1_weight,e_0_2_count,e_0_2_weight,e_0_3_count,e_0_3_weight,e_1_2_count,e_1_2_weight,e_1_3_count,e_1_3_weight,e_2_3_count,e_2_3_weight
22,4,8.0,0.9412,167.6,4,0.8,2,20,2,0.1667,0.087,4,0.76,3,19,3,0.2174,0.1364,3,0.72,2,18,2,0.6087,0.0909,4,0.8,3,20,3,0.1739,0.1364,0.76,3,6.33,16,2,1,g4_r4434,12,g3_r4434,2,g0_r0100,1,long_drift,1,0,0.6316,395.4,11.166,406.3,11.3382,372.4,10.4419,394.9,11.1551,366.2,10.0607,365.4,10.0986
222,1,11.0,0.943,165.7,4,0.8,2,20,2,0.6522,0.0909,4,0.84,3,21,3,0.56,0.125,4,0.76,2,19,2,0.6818,0.0952,4,0.92,1,23,1,0.5556,0.0588,0.68,5,3.4,6,3,2,g3_r4444,7,g1_r4444,6,g1_r3134,1,long_drift,1,3,0.4118,399.4,10.953,400.9,11.3185,377.4,10.4577,387.8,10.7464,369.6,10.3652,365.3,10.0506
2222,4,9.0,0.9363,162.7,4,0.92,1,23,1,0.4348,0.0455,4,0.8,2,20,2,0.4583,0.087,4,0.72,5,14,5,0.7,0.2632,4,0.84,3,21,3,0.4348,0.1364,0.68,3,5.67,7,1,2,g1_r4444,5,g4_r4434,3,g1_r4343,2,long_drift,2,0,0.2941,403.9,11.3555,399.8,11.0017,374.3,10.347,382.2,10.497,373.7,10.4765,365.2,10.0738
3000,4,5.0,0.9315,162.1,4,0.92,1,23,1,0.3043,0.0455,4,0.92,1,23,1,0.25,0.0435,4,0.92,1,23,1,0.3043,0.0455,4,0.92,2,23,2,0.3333,0.1,0.32,2,4.0,5,1,1,g3_r4444,5,g0_r0001,1,g1_r4444,1,long_drift,3,1,0.625,395.9,10.9515,392.5,10.8036,381.2,10.7312,388.3,10.8798,364.4,10.2837,362.0,9.996
314,4,5.0,0.9298,165.8,4,0.88,2,22,2,0.1304,0.0909,4,0.92,1,23,1,0.087,0.0455,4,0.72,3,18,3,0.2174,0.1364,4,0.76,3,19,3,0.2,0.1579,0.24,2,3.0,5,1,1,g4_r4433,2,g4_r1411,1,g3_r4433,1,long_drift,3,1,0.3333,395.2,11.0757,404.9,11.3049,382.6,10.8112,387.8,10.755,372.4,10.2639,365.6,10.2712
33,3,10.0,0.9603,174.3,4,0.92,2,23,2,0.9091,0.0952,4,0.92,1,23,1,0.8636,0.0476,4,0.76,3,19,3,0.7273,0.1429,4,0.56,5,14,5,0.7,0.2632,0.92,2,11.5,13,0,2,g3_r4444,7,g3_r4443,5,g0_r4404,3,long_drift,3,1,0.3043,399.1,10.9848,395.8,11.0635,384.1,10.6717,385.2,10.6069,366.8,10.1482,370.5,10.2824
333,4,3.0,0.9348,170.7,4,0.96,1,24,1,0.04,0.0417,4,0.96,1,24,1,0.0,0.0476,4,0.96,1,24,1,0.0435,0.0455,4,0.96,1,24,1,0.0417,0.0435,0.04,1,1.0,1,1,0,g1_r4444,1,,0,,0,quiet,1,0,1.0,394.8,10.9418,404.0,11.3676,362.3,10.0788,385.7,10.6427,373.0,10.3266,362.1,9.9789
3333,4,10.0,0.9532,162.8,4,0.76,2,19,2,0.5,0.0952,4,0.92,1,23,1,0.3913,0.0455,4,0.92,2,23,2,0.4348,0.0909,4,0.88,2,22,2,0.5,0.0952,0.56,3,4.67,5,1,2,g1_r4444,4,g3_r4444,4,g4_r3444,2,long_drift,0,1,0.2857,398.6,10.9951,386.3,10.7764,381.4,10.5982,389.8,10.7696,367.4,10.287,362.3,10.0031
42,4,8.0,0.9295,166.9,4,0.88,2,22,2,0.25,0.1053,4,0.84,3,20,3,0.1304,0.1364,4,0.96,1,24,1,0.2273,0.0476,4,0.96,1,24,1,0.1905,0.05,0.24,3,2.0,4,3,0,g1_r4344,2,g1_r4444,2,g4_r3444,1,short_burst,1,2,0.3333,399.8,11.0455,405.5,11.182,376.0,10.499,394.5,10.9427,358.2,10.008,363.4,10.0273
4321,4,10.0,0.9579,167.4,4,0.56,4,14,4,0.4,0.2105,4,0.96,1,24,1,0.6087,0.0455,3,0.6,3,15,3,0.5455,0.1429,4,0.56,3,14,3,0.2778,0.1765,0.8,2,10.0,17,1,1,g4_r4434,6,g3_r0433,4,g3_r4444,3,long_drift,0,1,0.3,398.4,11.0886,395.6,11.052,378.1,10.4922,379.8,10.5179,366.6,10.256,360.9,9.9547
44,4,11.0,0.934,171.2,4,0.8,3,13,3,0.4091,0.1429,4,0.72,5,18,5,0.4348,0.2273,4,0.52,3,13,3,0.4348,0.1364,4,0.96,1,24,1,0.4,0.0526,0.6,3,5.0,11,2,1,g3_r4444,4,g4_r4034,2,g4_r1434,2,long_drift,1,3,0.2667,404.3,11.2845,397.8,11.2771,371.0,10.1754,390.8,11.055,361.8,10.058,365.6,10.0215
444,4,4.0,0.9357,161.6,4,0.88,4,18,4,0.12,0.1667,4,0.96,1,24,1,0.2174,0.0455,4,0.96,1,24,1,0.1579,0.0556,4,0.64,4,16,4,0.2609,0.1818,0.36,1,9.0,9,0,1,g4_r4443,3,g1_r4441,2,g1_r4444,1,long_drift,3,1,0.3333,398.0,10.9975,400.8,11.2097,381.0,10.5827,391.7,10.8737,371.6,10.2991,368.0,10.1991
4444,4,10.0,0.9482,167.7,4,0.92,2,23,2,0.3,0.1053,4,0.92,2,23,2,0.3182,0.0952,4,0.92,2,23,2,0.3182,0.0952,4,0.92,2,23,2,0.3684,0.1111,0.4,3,3.33,8,2,1,g1_r4444,5,g3_r4444,3,g3_r1113,1,long_drift,3,2,0.5,396.6,11.0154,397.6,11.0268,374.8,10.3171,381.2,10.6868,361.0,10.0376,363.2,9.9448
456,3,8.0,0.9397,170.1,4,0.96,1,24,1,0.85,0.0526,4,0.96,1,24,1,0.8636,0.0476,4,0.8,2,20,2,0.65,0.1053,4,0.76,2,19,2,0.68,0.0833,0.88,3,7.33,8,0,3,g3_r4444,11,g3_r4433,3,g1_r4444,3,long_drift,2,1,0.5,411.2,11.4269,398.0,11.1174,383.9,10.6806,385.8,10.6308,368.0,10.2627,364.2,9.9728
55,4,7.0,0.9383,175.7,4,0.56,3,14,3,0.25,0.1304,4,0.96,1,24,1,0.3182,0.0476,4,0.64,4,16,4,0.1579,0.2222,4,0.64,3,16,3,0.1818,0.1429,0.44,2,5.5,10,1,1,g3_r3433,4,g1_r3433,2,g4_r3444,2,long_drift,2,1,0.3636,402.6,11.2503,397.6,10.9691,379.0,10.5808,385.8,10.7665,363.2,10.1161,367.1,10.2375
555,4,5.0,0.9323,162.5,4,0.96,1,24,1,0.2609,0.0455,4,0.64,3,16,3,0.1,0.1579,3,0.48,3,12,3,0.2222,0.1765,4,0.96,1,24,1,0.2857,0.05,0.56,2,7.0,13,1,1,g4_r4434,5,g3_r4334,4,g4_r4334,3,long_drift,2,0,0.3571,402.2,11.0853,399.2,11.0502,376.2,10.4491,395.2,11.0018,370.4,10.2391,368.6,10.2311
5555,4,9.0,0.9312,163.8,4,0.84,3,21,3,0.5,0.1429,3,0.44,6,8,6,0.5,0.2609,4,0.84,2,21,2,0.5417,0.087,4,0.84,2,21,2,0.5,0.1053,0.76,3,6.33,12,2,1,g4_r4344,5,g3_r4344,4,g3_r4144,3,long_drift,1,2,0.2632,397.8,11.0956,397.3,10.9547,372.0,10.368,391.1,10.6773,365.0,10.2102,365.6,10.2449
66,4,8.0,0.9501,173.8,4,0.76,2,19,2,0.2,0.0833,4,0.68,3,17,3,0.2609,0.1364,4,0.92,1,23,1,0.24,0.0417,4,0.92,2,23,2,0.2917,0.087,0.32,2,4.0,7,1,1,g1_r3344,2,g0_r0001,1,g0_r3244,1,long_drift,1,2,0.25,396.1,10.8822,390.5,10.8535,379.1,10.4651,386.8,10.8083,367.6,10.0903,356.9,9.922
666,4,8.0,0.9537,173.6,4,0.96,1,24,1,0.2174,0.0455,4,0.84,2,21,2,0.381,0.1,4,0.96,1,24,1,0.1579,0.0556,4,0.96,1,24,1,0.25,0.0526,0.32,5,1.6,3,5,0,g4_r4344,3,g1_r4444,3,g0_r4444,1,short_burst,1,0,0.375,397.7,11.0689,399.6,11.025,373.1,10.2908,387.6,11.0481,370.2,10.281,364.5,10.0524
6789,4,10.0,0.9341,162.6,4,0.72,3,18,3,0.4286,0.15,4,0.96,1,24,1,0.3913,0.0455,4,0.52,3,13,3,0.55,0.1579,4,0.92,2,23,2,0.45,0.1053,0.68,3,5.67,11,2,1,g4_r3434,4,g4_r4434,4,g3_r4444,4,long_drift,2,1,0.2353,395.8,11.0235,391.2,10.8655,379.2,10.5468,382.4,10.6788,370.4,10.2316,364.1,10.1145
7,4,12.0,0.9314,174.4,3,0.68,2,17,2,0.6364,0.0952,4,0.96,1,24,1,0.5417,0.0435,4,0.96,1,24,1,0.5417,0.0435,4,0.48,3,12,3,0.6,0.125,0.92,2,11.5,19,1,1,g3_r3443,4,g4_r3443,4,g4_r3444,4,long_drift,3,2,0.1739,395.9,10.9986,397.4,10.9807,379.6,10.671,387.6,10.8869,367.2,10.3977,366.3,10.2247
77,4,4.0,0.9328,171.2,4,0.88,2,22,2,0.1,0.1053,4,0.8,2,20,2,0.15,0.1053,4,0.84,2,21,2,0.0833,0.087,4,0.88,2,22,2,0.125,0.1333,0.16,2,2.0,3,2,0,g3_r1311,1,g4_r4314,1,g4_r4344,1,short_burst,3,2,0.25,404.0,11.2285,396.0,11.0836,384.4,10.6531,383.4,10.6914,370.1,10.2536,363.3,10.0385
777,4,9.0,0.9372,164.3,4,0.96,1,24,1,0.2174,0.0455,4,0.96,1,24,1,0.2727,0.0476,4,0.92,2,23,2,0.2,0.1053,4,0.56,2,14,2,0.6,0.1053,0.64,3,5.33,10,1,2,g4_r4443,9,g1_r4444,3,g3_r4444,2,long_drift,2,0,0.5625,400.2,11.0767,389.3,10.9604,372.6,10.3446,388.9,10.876,368.5,10.1231,370.7,10.4292
7777,4,7.0,0.9248,161.2,4,0.92,1,23,1,0.25,0.0435,4,0.88,2,22,2,0.2381,0.1,4,0.88,3,22,3,0.25,0.1579,4,0.96,1,24,1,0.2381,0.05,0.24,3,2.0,3,3,0,g1_r4444,4,g4_r0114,1,g0_r4104,1,short_burst,2,0,0.6667,399.2,11.0628,401.6,11.0487,375.0,10.372,383.1,10.5091,364.7,10.194,363.2,10.1966
789,4,7.0,0.9382,166.7,4,0.96,1,24,1,0.1304,0.0455,4,0.96,1,24,1,0.1364,0.0476,4,0.96,1,24,1,0.1304,0.0455,4,0.96,1,24,1,0.1364,0.0476,0.12,3,1.0,1,3,0,g1_r4444,2,g0_r4444,1,,0,short_burst,1,2,0.6667,395.8,10.7475,408.0,11.3413,381.1,10.765,389.7,10.7359,377.8,10.5705,366.8,10.2477
88,4,9.0,0.9008,158.9,3,0.48,7,9,7,0.5909,0.3333,4,0.96,1,24,1,0.3636,0.0476,4,0.92,1,23,1,0.32,0.0417,4,0.92,1,23,1,0.3684,0.0556,0.8,1,20.0,20,0,1,g4_r3444,7,g1_r1444,3,g4_r0444,3,long_drift,0,2,0.35,400.2,11.1326,397.8,11.2296,376.0,10.4316,383.8,10.6956,369.0,10.1579,377.3,10.4643
888,3,12.0,0.9402,175.0,4,0.96,1,24,1,0.7083,0.0435,4,0.92,2,23,2,0.7391,0.0909,0,0.56,7,9,7,0.5417,0.3043,4,0.96,1,24,1,0.7083,0.0435,0.92,1,23.0,23,0,1,g0_r4404,4,g1_r4404,3,g3_r4404,3,long_drift,2,3,0.1739,397.2,11.0528,402.5,11.1755,373.5,10.3878,385.0,10.7173,368.4,10.2857,364.1,10.1175
8888,4,9.0,0.9127,164.4,4,0.68,3,17,3,0.4348,0.1364,4,0.92,2,23,2,0.5455,0.0952,4,0.64,3,16,3,0.3636,0.1429,4,0.96,1,24,1,0.5833,0.0435,0.6,3,5.0,8,1,2,g3_r4444,6,g3_r3434,3,g1_r3434,2,long_drift,2,3,0.4,410.4,11.417,401.5,11.3293,378.6,10.5228,384.6,10.7449,366.1,10.1315,360.6,10.0378
99,4,7.0,0.9381,177.6,3,0.92,1,23,1,0.7391,0.0455,4,0.52,2,13,2,0.3333,0.1,4,0.96,1,24,1,0.1818,0.0476,4,0.96,1,24,1,0.2381,0.05,0.96,1,24.0,24,0,1,g4_r3444,12,g4_r3344,6,g3_r3344,3,long_drift,1,0,0.5,403.2,11.2004,401.3,11.1966,381.9,10.3917,381.1,10.6918,369.1,10.1928,375.2,10.2475
9999,4,10.0,0.9376,172.5,4,0.76,3,19,3,0.28,0.125,4,0.64,4,16,4,0.5,0.2105,4,0.76,3,19,3,0.3636,0.1429,3,0.6,6,15,6,0.7083,0.2609,0.88,2,11.0,20,1,1,g4_r4443,8,g3_r4443,4,g1_r4443,3,long_drift,3,0,0.3636,399.6,11.1234,402.6,11.3436,377.8,10.5547,386.1,10.8724,361.4,10.0951,369.7,10.2593
