window,alive_nodes,alive_links,n_clusters,n_encapsulated,n_candidates,max_size,max_density_ratio,max_seen_count,mean_inner_entropy,max_inner_entropy,total_inner_triangles,motif_recurrence_count,encap_events_total,dissolve_events_total,hardened_links_count,k_star,entropy,entropy_delta,milestone,physics_seconds,max_lifespan,mean_continuity,max_continuity,mean_turnover_rate,resonant_incorporations,dissonant_incorporations,resonant_rejections,dissonant_rejections,resonance_total_events,resonance_ratio,pd_p_count,pd_d_count,pd_both_count,personalities_recorded,accretion_qualified,accretion_contacts,accretion_boosts,accretion_boosted_nodes,accretion_mean_resonance,accretion_total_boosts_cum
17,5000,3066,1,0,1,3,0.0,1,0,0,0,0,0,0,0,0,1.9492,0.1034,1,35.8,1,0.0,0.0,0.0,0,0,9,15,24,0.0,0,0,0,0,0,0,0,0,0.0,0
18,5000,3075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9585,0.0093,1,36.4,1,0.0,0.0,0.0,0,0,10,17,27,0.0,0,0,0,0,0,0,0,0,0.0,0
19,5000,3009,2,0,2,4,1.0,1,0,0,0,0,0,0,0,1,1.9839,0.0254,1,36.1,1,0.0,0.0,0.0,0,0,10,17,27,0.0,0,0,0,0,0,0,0,0,0.0,0
20,5000,2992,2,0,2,4,0.75,1,0,0,0,0,0,0,0,1,1.9075,-0.0764,1,37.0,1,0.0,0.0,0.0,0,0,13,21,34,0.0,0,0,0,0,0,0,0,0,0.0,0
21,5000,3158,1,0,1,3,0.6667,1,0,0,0,0,0,0,0,1,1.8801,-0.0274,2,37.9,1,0.0,0.0,0.0,0,0,15,18,33,0.0,0,0,0,0,0,0,0,0,0.0,0
22,5000,3080,2,0,2,5,1.6,2,0,0,0,0,0,0,0,3,1.8727,-0.0074,2,38.3,2,0.0,0.0,0.0,0,0,16,19,35,0.0,0,1,0,0,1,3,0,0,0.027,0
23,5000,3092,1,0,1,5,0.0,1,0,0,0,0,0,0,0,3,1.9332,0.0605,2,39.1,2,0.0,0.0,0.0,0,0,21,21,42,0.0,0,0,0,0,0,0,0,0,0.0,0
24,5000,3070,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9219,-0.0113,2,39.6,2,0.0,0.0,0.0,0,0,22,24,46,0.0,0,0,0,0,0,0,0,0,0.0,0
25,5000,3072,1,0,1,5,1.2,1,0,0,0,0,0,0,0,1,1.8609,-0.0611,1,39.9,2,0.0,0.0,0.0,0,0,20,20,40,0.0,0,0,0,0,0,0,0,0,0.0,0
26,5000,3186,2,0,2,5,2.0,2,0,0,0,0,0,0,0,3,1.9809,0.12,1,39.3,2,0.0,0.0,0.0,0,0,20,22,42,0.0,0,1,0,0,0,0,0,0,0.0,0
27,5000,3104,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9316,-0.0493,2,41.2,2,0.0,0.0,0.0,0,0,22,25,47,0.0,0,0,0,0,0,0,0,0,0.0,0
28,5000,3080,1,0,1,3,0.8,1,0,0,0,0,0,0,0,3,1.9576,0.026,1,39.8,2,0.0,0.0,0.0,0,0,21,21,42,0.0,0,0,0,0,0,0,0,0,0.0,0
29,4999,3114,3,0,3,5,0.8,1,0,0,0,0,0,0,0,1,1.972,0.0145,1,41.3,2,0.0,0.0,0.0,0,0,26,21,47,0.0,0,0,0,0,0,0,0,0,0.0,0
30,4999,3110,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9783,0.0063,2,41.1,2,0.0,0.0,0.0,0,0,28,25,53,0.0,0,0,0,0,0,0,0,0,0.0,0
31,4999,3031,1,0,1,3,0.3333,1,0,0,0,0,0,0,0,3,1.9593,-0.019,1,41.1,2,0.0,0.0,0.0,0,0,23,21,44,0.0,0,0,0,0,0,0,0,0,0.0,0
32,4997,3064,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9198,-0.0395,1,41.6,2,0.0,0.0,0.0,0,0,24,22,46,0.0,0,0,0,0,0,0,0,0,0.0,0
33,4996,3102,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9,-0.0198,1,41.8,2,0.0,0.0,0.0,0,0,15,17,32,0.0,0,0,0,0,0,0,0,0,0.0,0
34,4995,3045,1,0,1,4,0.3333,1,0,0,0,0,0,0,0,3,1.9017,0.0017,1,41.6,2,0.0,0.0,0.0,0,0,15,17,32,0.0,0,0,0,0,0,0,0,0,0.0,0
35,4993,3066,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9322,0.0305,1,42.3,2,0.0,0.0,0.0,0,0,17,20,37,0.0,0,0,0,0,0,0,0,0,0.0,0
36,4992,3220,3,0,3,5,1.1111,1,0,0,0,0,0,0,0,3,1.9612,0.029,1,42.5,2,0.0,0.0,0.0,0,0,17,18,35,0.0,0,0,0,0,0,0,0,0,0.0,0
37,4989,3051,1,0,1,5,0.3,1,0,0,0,0,0,0,0,3,1.9904,0.0291,1,42.4,1,0.0,0.0,0.0,0,0,18,20,38,0.0,0,0,0,0,0,0,0,0,0.0,0
38,4984,3067,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9919,0.0015,2,41.6,1,0.0,0.0,0.0,0,0,21,25,46,0.0,0,0,0,0,0,0,0,0,0.0,0
39,4983,3206,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9839,-0.008,1,41.5,1,0.0,0.0,0.0,0,0,16,25,41,0.0,0,0,0,0,0,0,0,0,0.0,0
40,4982,3091,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9652,-0.0187,1,42.1,1,0.0,0.0,0.0,0,0,13,18,31,0.0,0,0,0,0,0,0,0,0,0.0,0
41,4982,2989,1,0,1,3,0.3333,1,0,0,0,0,0,0,0,3,1.8727,-0.0925,1,42.3,1,0.0,0.0,0.0,0,0,13,18,31,0.0,0,0,0,0,0,0,0,0,0.0,0
42,4980,3088,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.8097,-0.0629,1,42.2,1,0.0,0.0,0.0,0,0,11,20,31,0.0,0,0,0,0,0,0,0,0,0.0,0
43,4980,3079,1,0,1,4,0.6,1,0,0,0,0,0,0,0,1,1.7854,-0.0243,1,43.4,1,0.0,0.0,0.0,0,0,11,20,31,0.0,0,0,0,0,0,0,0,0,0.0,0
44,4979,3042,1,0,1,4,0.75,1,0,0,0,0,0,0,0,1,1.7726,-0.0128,1,42.3,1,0.0,0.0,0.0,0,0,16,20,36,0.0,0,0,0,0,0,0,0,0,0.0,0
45,4979,3034,1,0,1,5,0.8333,1,0,0,0,0,0,0,0,1,1.7636,-0.009,2,43.1,1,0.0,0.0,0.0,0,0,14,21,35,0.0,0,0,0,0,0,0,0,0,0.0,0
46,4978,3005,1,0,1,3,0.5,1,0,0,0,0,0,0,0,1,1.828,0.0643,2,43.2,1,0.0,0.0,0.0,0,0,19,28,47,0.0,0,0,0,0,0,0,0,0,0.0,0
47,4978,3059,2,0,2,5,1.0,1,0,0,0,0,0,0,0,3,1.9201,0.0921,2,43.1,1,0.0,0.0,0.0,0,0,14,23,37,0.0,0,0,0,0,0,0,0,0,0.0,0
48,4978,3065,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9,-0.0201,2,42.2,1,0.0,0.0,0.0,0,0,14,25,39,0.0,0,0,0,0,0,0,0,0,0.0,0
49,4978,3025,3,0,3,5,1.6,1,0,0,0,0,0,0,0,3,1.9243,0.0243,1,41.5,1,0.0,0.0,0.0,0,0,14,25,39,0.0,0,1,0,0,0,0,0,0,0.0,0
50,4978,3135,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9267,0.0024,1,41.2,1,0.0,0.0,0.0,0,0,16,36,52,0.0,0,0,0,0,0,0,0,0,0.0,0
51,4975,3109,1,0,1,4,1.5,1,0,0,0,0,0,0,0,3,1.9569,0.0302,1,38.7,1,0.0,0.0,0.0,0,0,16,36,52,0.0,0,1,0,0,0,0,0,0,0.0,0
52,4973,3031,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9725,0.0156,1,38.2,1,0.0,0.0,0.0,0,0,16,33,49,0.0,0,0,0,0,0,0,0,0,0.0,0
53,4972,3002,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.962,-0.0105,1,38.0,1,0.0,0.0,0.0,0,0,16,33,49,0.0,0,0,0,0,0,0,0,0,0.0,0
54,4970,3028,1,0,1,5,0.1333,1,0,0,0,0,0,0,0,3,1.9193,-0.0428,1,37.4,1,0.0,0.0,0.0,0,0,11,33,44,0.0,0,0,0,0,0,0,0,0,0.0,0
55,4969,2947,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9319,0.0126,1,38.1,1,0.0,0.0,0.0,0,0,11,32,43,0.0,0,0,0,0,0,0,0,0,0.0,0
56,4969,2988,1,0,1,5,1.0667,1,0,0,0,0,0,0,0,3,1.8961,-0.0358,1,37.7,1,0.0,0.0,0.0,0,0,6,25,31,0.0,0,0,0,0,0,0,0,0,0.0,0
57,4967,3037,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9413,0.0452,1,38.3,1,0.0,0.0,0.0,0,0,7,23,30,0.0,0,0,0,0,0,0,0,0,0.0,0
58,4967,3118,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9575,0.0162,1,37.4,1,0.0,0.0,0.0,0,0,4,16,20,0.0,0,0,0,0,0,0,0,0,0.0,0
59,4966,3065,1,0,1,3,0.3333,1,0,0,0,0,0,0,0,1,1.9893,0.0317,1,37.7,1,0.0,0.0,0.0,0,0,4,16,20,0.0,0,0,0,0,0,0,0,0,0.0,0
60,4963,3200,2,0,2,4,1.0,1,0,0,0,0,0,0,0,3,1.8742,-0.1151,1,38.3,1,0.0,0.0,0.0,0,0,2,7,9,0.0,0,0,0,0,0,0,0,0,0.0,0
61,4963,3080,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.871,-0.0032,2,37.6,1,0.0,0.0,0.0,0,0,2,9,11,0.0,0,0,0,0,0,0,0,0,0.0,0
62,4963,3146,2,0,2,5,0.0,1,0,0,0,0,0,0,0,3,1.9547,0.0837,1,38.4,1,0.0,0.0,0.0,0,0,2,8,10,0.0,0,0,0,0,0,0,0,0,0.0,0
63,4961,3014,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9938,0.0391,1,37.3,1,0.0,0.0,0.0,0,0,2,8,10,0.0,0,0,0,0,0,0,0,0,0.0,0
64,4960,3041,1,0,1,5,1.6,1,0,0,0,0,0,0,0,1,1.9713,-0.0225,1,38.5,1,0.0,0.0,0.0,0,0,2,8,10,0.0,0,1,0,0,0,0,0,0,0.0,0
65,4959,3043,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.9628,-0.0085,1,37.3,1,0.0,0.0,0.0,0,0,4,6,10,0.0,0,0,0,0,0,0,0,0,0.0,0
66,4957,3054,1,0,1,4,0.0,1,0,0,0,0,0,0,0,1,1.9553,-0.0075,1,38.0,1,0.0,0.0,0.0,0,0,4,6,10,0.0,0,0,0,0,0,0,0,0,0.0,0
67,4955,3148,1,0,1,3,0.5,1,0,0,0,0,0,0,0,2,1.9539,-0.0014,1,37.7,1,0.0,0.0,0.0,0,0,2,5,7,0.0,0,0,0,0,0,0,0,0,0.0,0
68,4955,3011,1,0,1,3,0.3333,1,0,0,0,0,0,0,0,3,1.9032,-0.0507,2,37.6,1,0.0,0.0,0.0,0,0,2,9,11,0.0,0,0,0,0,0,0,0,0,0.0,0
69,4955,3103,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9668,0.0636,2,38.5,1,0.0,0.0,0.0,0,0,4,11,15,0.0,0,0,0,0,0,0,0,0,0.0,0
70,4953,3123,3,0,3,5,1.1111,2,0,0,0,0,0,0,0,3,1.9634,-0.0034,1,37.8,2,0.0,0.0,0.0,0,0,4,9,13,0.0,0,0,0,0,0,0,0,0,0.0,0
71,4952,3022,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.97,0.0065,1,38.6,2,0.0,0.0,0.0,0,0,9,17,26,0.0,0,0,0,0,0,0,0,0,0.0,0
72,4952,3068,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9167,-0.0533,1,37.8,2,0.0,0.0,0.0,0,0,9,17,26,0.0,0,0,0,0,0,0,0,0,0.0,0
73,4952,3098,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.8928,-0.0239,1,38.4,2,0.0,0.0,0.0,0,0,9,17,26,0.0,0,0,0,0,0,0,0,0,0.0,0
74,4952,3001,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.8479,-0.0449,1,37.7,2,0.0,0.0,0.0,0,0,9,17,26,0.0,0,0,0,0,0,0,0,0,0.0,0
75,4951,3043,1,0,1,5,0.8,1,0,0,0,0,0,0,0,3,1.8081,-0.0398,1,37.5,2,0.0,0.0,0.0,0,0,7,16,23,0.0,0,0,0,0,0,0,0,0,0.0,0
76,4950,3069,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.8554,0.0473,1,38.0,2,0.0,0.0,0.0,0,0,8,21,29,0.0,0,0,0,0,0,0,0,0,0.0,0
77,4950,2954,1,0,1,3,0.0,2,0,0,0,0,0,0,0,3,1.8479,-0.0075,1,37.5,2,0.0,0.0,0.0,0,0,8,21,29,0.0,0,0,0,0,0,0,0,0,0.0,0
78,4950,2994,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9574,0.1096,1,38.2,2,0.0,0.0,0.0,0,0,12,19,31,0.0,0,0,0,0,0,0,0,0,0.0,0
79,4947,3051,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9491,-0.0083,1,37.7,2,0.0,0.0,0.0,0,0,10,17,27,0.0,0,0,0,0,0,0,0,0,0.0,0
80,4947,3006,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.93,-0.0191,1,38.4,2,0.0,0.0,0.0,0,0,10,17,27,0.0,0,0,0,0,0,0,0,0,0.0,0
81,4947,3085,2,0,2,5,0.8889,2,0,0,0,0,0,0,0,3,1.93,0.0,1,37.8,2,0.0,0.0,0.0,0,0,6,8,14,0.0,0,0,0,0,0,0,0,0,0.0,0
82,4947,3060,1,0,1,5,0.64,1,0,0,0,0,0,0,0,3,1.8449,-0.0851,1,37.9,2,0.0,0.0,0.0,0,0,11,13,24,0.0,0,0,0,0,0,0,0,0,0.0,0
83,4945,2873,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.8232,-0.0217,2,38.5,2,0.0,0.0,0.0,0,0,15,14,29,0.0,0,0,0,0,0,0,0,0,0.0,0
84,4945,3014,3,0,3,4,0.5,1,0,0,0,0,0,0,0,1,1.811,-0.0121,1,38.0,2,0.0,0.0,0.0,0,0,15,14,29,0.0,0,0,0,0,0,0,0,0,0.0,0
85,4942,2996,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.8064,-0.0047,1,38.1,2,0.0,0.0,0.0,0,0,21,19,40,0.0,0,0,0,0,0,0,0,0,0.0,0
86,4942,3053,3,0,3,5,1.0,1,0,0,0,0,0,0,0,1,1.9313,0.1249,1,37.5,2,0.0,0.0,0.0,0,0,21,19,40,0.0,0,0,0,0,0,0,0,0,0.0,0
87,4942,3017,1,0,1,3,0.0,2,0,0,0,0,0,0,0,1,1.937,0.0057,1,38.1,2,0.75,0.75,0.025,0,0,24,24,48,0.0,0,0,0,0,0,0,0,0,0.0,0
88,4941,3083,1,0,1,4,0.0,1,0,0,0,0,0,0,0,3,1.8753,-0.0617,2,37.6,2,0.75,0.75,0.025,0,0,21,18,39,0.0,0,0,0,0,0,0,0,0,0.0,0
89,4940,3076,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9608,0.0856,2,38.4,2,0.75,0.75,0.025,0,0,22,23,45,0.0,0,0,0,0,0,0,0,0,0.0,0
90,4939,3098,1,0,1,5,0.4,1,0,0,0,0,0,0,0,3,1.9489,-0.012,1,36.9,2,0.75,0.75,0.0227,0,0,22,23,45,0.0,0,0,0,0,0,0,0,0,0.0,0
91,4939,3059,1,0,1,3,0.4444,1,0,0,0,0,0,0,0,1,1.925,-0.0239,1,38.3,2,0.75,0.75,0.0208,0,0,23,28,51,0.0,0,0,0,0,0,0,0,0,0.0,0
92,4937,3112,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9428,0.0178,2,37.6,2,0.75,0.75,0.025,0,0,17,25,42,0.0,0,0,0,0,0,0,0,0,0.0,0
93,4936,3057,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9562,0.0133,1,37.7,2,0.75,0.75,0.0278,0,0,13,24,37,0.0,0,0,0,0,0,0,0,0,0.0,0
94,4934,3084,1,0,1,3,0.6667,1,0,0,0,0,0,0,0,3,1.9269,-0.0293,1,38.9,2,0.75,0.75,0.025,0,0,13,24,37,0.0,0,0,0,0,0,0,0,0,0.0,0
95,4934,3092,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9785,0.0516,1,38.0,2,0.75,0.75,0.0357,0,0,7,23,30,0.0,0,0,0,0,0,0,0,0,0.0,0
96,4934,3013,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9547,-0.0238,1,38.7,2,0.75,0.75,0.0357,0,0,7,23,30,0.0,0,0,0,0,0,0,0,0,0.0,0
97,4932,3023,1,0,1,5,0.2,2,0,0,0,0,0,0,0,3,1.9056,-0.049,1,37.9,2,0.75,0.75,0.05,0,0,5,20,25,0.0,0,0,0,0,0,0,0,0,0.0,0
98,4932,3061,1,0,1,4,0.75,3,0,0,0,0,0,0,0,3,1.9111,0.0054,1,37.7,3,0.75,0.75,0.05,0,0,6,29,35,0.0,1,0,0,1,0,0,0,0,0.0,0
99,4929,3078,2,0,2,3,0.4444,1,0,0,0,0,0,0,0,3,1.8058,-0.1052,2,38.8,3,0.75,0.75,0.0417,0,0,6,27,33,0.0,0,0,0,1,0,0,0,0,0.0,0
100,4928,3011,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.7734,-0.0324,2,37.5,3,0.75,0.75,0.0417,0,0,9,32,41,0.0,0,0,0,1,0,0,0,0,0.0,0
101,4926,3098,1,0,1,5,0.0,1,0,0,0,0,0,0,0,3,1.7835,0.0101,1,38.7,3,0.75,0.75,0.0417,0,0,8,27,35,0.0,0,0,0,1,0,0,0,0,0.0,0
102,4923,2990,1,0,1,5,0.8,1,0,0,0,0,0,0,0,1,1.6817,-0.1018,1,37.7,3,0.75,0.75,0.0357,0,0,11,31,42,0.0,0,0,0,1,0,0,0,0,0.0,0
103,4922,3131,1,0,1,5,0.8,1,0,0,0,0,0,0,0,1,1.856,0.1743,2,38.5,3,0.75,0.75,0.0312,0,0,14,32,46,0.0,0,0,0,1,0,0,0,0,0.0,0
104,4922,3049,1,0,1,4,0.8571,1,0,0,0,0,0,0,0,0,1.9149,0.059,2,36.7,3,0.75,0.75,0.0278,0,0,18,34,52,0.0,0,0,0,1,0,0,0,0,0.0,0
105,4922,3035,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9315,0.0166,2,38.2,3,0.75,0.75,0.0312,0,0,22,33,55,0.0,0,0,0,1,0,0,0,0,0.0,0
106,4920,3039,1,0,1,4,0.3333,1,0,0,0,0,0,0,0,3,1.926,-0.0056,1,37.3,3,0.75,0.75,0.0278,0,0,22,33,55,0.0,0,0,0,1,0,0,0,0,0.0,0
107,4919,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.8881,-0.0379,1,37.8,3,0.75,0.75,0.0278,0,0,22,36,58,0.0,0,0,0,1,0,0,0,0,0.0,0
108,4918,3102,1,0,1,5,0.5333,1,0,0,0,0,0,0,0,3,1.9183,0.0302,1,38.3,3,0.75,0.75,0.0278,0,0,21,24,45,0.0,0,0,0,1,0,0,0,0,0.0,0
109,4915,3012,2,0,2,5,1.3333,2,0,0,0,0,0,0,0,3,1.9977,0.0794,1,37.7,2,0.0,0.0,0.1778,0,0,18,20,38,0.0,0,0,0,0,1,4,1,1,0.1902,1
110,4912,3038,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.997,-0.0007,2,38.4,2,0.0,0.0,0.2286,0,0,19,17,36,0.0,0,0,0,0,0,0,0,0,0.0,1
111,4910,2981,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9904,-0.0066,1,37.6,2,0.0,0.0,0.2286,0,0,19,17,36,0.0,0,0,0,0,0,0,0,0,0.0,1
112,4908,3037,1,0,1,5,0.7111,1,0,0,0,0,0,0,0,1,1.9822,-0.0081,1,38.1,2,0.0,0.0,0.2286,0,0,16,13,29,0.0,0,0,0,0,0,0,0,0,0.0,1
113,4906,3039,1,0,1,3,0.6667,1,0,0,0,0,0,0,0,1,1.9794,-0.0029,1,37.5,2,0.0,0.0,0.2286,0,0,18,16,34,0.0,0,0,0,0,0,0,0,0,0.0,1
114,4905,3018,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.9678,-0.0116,2,38.3,2,0.0,0.0,0.2667,0,0,14,16,30,0.0,0,0,0,0,0,0,0,0,0.0,1
115,4904,3011,2,0,2,4,0.5,1,0,0,0,0,0,0,0,2,1.9958,0.028,1,37.9,2,0.0,0.0,0.2286,0,0,10,13,23,0.0,0,0,0,0,0,0,0,0,0.0,1
116,4898,3046,1,0,1,4,1.0,1,0,0,0,0,0,0,0,3,1.9425,-0.0533,1,37.5,2,0.0,0.0,0.2,0,0,15,19,34,0.0,0,0,0,0,0,0,0,0,0.0,1
117,4893,2891,1,0,1,3,0.0,1,0,0,0,0,0,0,0,3,1.9153,-0.0272,2,38.6,2,0.0,0.0,0.2,0,0,16,21,37,0.0,0,0,0,0,0,0,0,0,0.0,1
118,4890,2966,1,0,1,5,0.96,1,0,0,0,0,0,0,0,3,1.8887,-0.0266,2,37.7,2,0.0,0.0,0.1778,0,0,16,21,37,0.0,0,0,0,0,0,0,0,0,0.0,1
119,4886,3028,2,0,2,5,2.0,1,0,0,0,0,0,0,0,1,1.8774,-0.0113,2,38.7,2,0.0,0.0,0.1455,0,0,18,24,42,0.0,0,1,0,0,0,0,0,0,0.0,1
120,4885,3039,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.8623,-0.0151,2,37.7,1,0.0,0.0,0.0,0,0,15,23,38,0.0,0,0,0,0,0,0,0,0,0.0,1
121,4884,2996,1,0,1,3,1.3333,1,0,0,0,0,0,0,0,3,1.8752,0.013,1,38.6,1,0.0,0.0,0.0,0,0,15,23,38,0.0,0,0,0,0,0,0,0,0,0.0,1
122,4884,3056,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.8537,-0.0216,1,37.6,1,0.0,0.0,0.0,0,0,15,25,40,0.0,0,0,0,0,0,0,0,0,0.0,1
123,4880,2942,1,0,1,5,2.0,1,0,0,0,0,0,0,0,3,1.9652,0.1116,1,38.4,1,0.0,0.0,0.0,0,0,10,21,31,0.0,0,1,0,0,0,0,0,0,0.0,1
124,4878,2895,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9498,-0.0155,1,37.5,1,0.0,0.0,0.0,0,0,12,20,32,0.0,0,0,0,0,0,0,0,0,0.0,1
125,4876,3028,1,0,1,5,0.2,1,0,0,0,0,0,0,0,3,1.9853,0.0355,1,37.5,1,0.0,0.0,0.0,0,0,12,20,32,0.0,0,0,0,0,0,0,0,0,0.0,1
126,4876,3019,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.994,0.0088,1,38.0,1,0.0,0.0,0.0,0,0,8,15,23,0.0,0,0,0,0,0,0,0,0,0.0,1
127,4874,2985,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9785,-0.0155,1,36.9,1,0.0,0.0,0.0,0,0,7,10,17,0.0,0,0,0,0,0,0,0,0,0.0,1
128,4872,2893,3,0,3,5,2.0,1,0,0,0,0,0,0,0,1,1.9363,-0.0422,1,38.4,1,0.0,0.0,0.0,0,0,7,10,17,0.0,0,1,0,0,0,0,0,0,0.0,1
